Island,Date,Tree,Number,Weight_mg,Length_mm,Order,Family,Genus,Species
P.mouth,8/26/10,PG,301,0.7,2.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,162,0.71,3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,9/12/10,TA,1303,0.77,3.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/27/10,scae,256,0.84,3.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Aviation,9/1/10,TA,623,0.85,4.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,131,0.86,3.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,9/15/10,PG,1418,0.99,4.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Aviation,9/1/10,TA,629,1.05,4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,9/9/10,PG,1191,1.06,4.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/1/10,PG,682,1.25,3.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Paradise,9/6/10,TA,1107,1.27,4.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Engineer,9/10/10,PG,766,1.3,4.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,973,1.32,4.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,8/31/10,PG,617,1.35,5.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,970,1.37,4.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,8/31/10,TA,698,1.43,4.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,PG,990,1.44,4.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,121,1.44,4.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/1/10,PG,678,1.45,5.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/26/10,PG,295,1.46,7.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Aviation,9/19/10,TA,1510,1.5,5.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Castor,9/11/10,TA,777,1.64,5.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,972,1.68,5.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,123,1.75,4.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,153,1.77,5.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,8/30/10,PS,380,1.86,4.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,971,1.89,4.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/28/10,PG,643,1.92,4.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,114,1.92,4.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,3,1.93,4.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Paradise,9/6/10,PG,1106,2.03,6.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,206,2.2,4.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Paradise,9/6/10,PG,1105,2.21,3.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,PG,988,2.6,5.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/23/10,PS,100,2.61,6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,161,2.73,6.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,8/26/10,TA,349,2.85,5.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,644,2.97,4.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,32,2.98,7.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/1/10,PG,680,3.1,6.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/1/10,PS,646,3.21,6.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,181,3.28,6.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,163,3.34,6.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/26/10,PG,299,3.52,6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,9/9/10,PG,1192,3.86,6.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,1,4.02,6.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,155,4.06,6.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,4,4.06,6.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,8/28/10,PG,356,4.19,6.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,85,4.32,6.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,8/25/10,PG,168,4.41,7.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,184,4.41,6.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Eastern,8/30/10,TA,456,4.43,9.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,190,4.65,8.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/28/10,PG,639,4.69,7.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,9/10/10,TA,769,4.89,7.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,250,5.05,7.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Castor,8/30/10,PG,492,5.27,6.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,53,5.32,8.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,8/25/10,PG,166,5.33,7.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,8/23/10,PG,101,5.39,6.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/8/10,PG,1189,5.41,7.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,102,5.41,7.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,175,5.41,7.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/8/10,PG,1187,5.46,7.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,445,5.52,7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,188,5.7,6.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,978,5.75,7.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,174,5.81,7.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,8/25/10,PG,171,6.07,8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,9/9/10,PG,1164,6.08,7.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Kaula,8/31/10,TA,618,6.39,10.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,645,6.48,7.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,159,6.82,7.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,9/15/10,PG,1419,6.94,7.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Aviation,9/1/10,TA,624,7.03,7.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,152,7.2,9.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Paradise,8/28/10,PG,345,7.41,8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,251,7.58,7.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Castor,9/11/10,TA,778,8.01,7.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,154,8.2,7.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/8/10,PG,1186,8.31,10,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/1/10,PG,677,8.49,9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,266,8.51,8.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/26/10,PG,302,8.52,7.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,8/25/10,PG,167,8.6,7.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,451,8.64,7.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/8/10,PG,1185,8.75,9.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Claire,8/29/10,TA,364,8.76,8.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Paradise,9/6/10,PG,1104,8.8,8.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,PG,671,8.86,7.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,TA,607,8.9,9.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,448,8.99,7.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,8/24/10,PG,105,9.01,8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,9/9/10,PG,1168,9.13,9.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,9/1/10,PG,605,9.29,9.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,267,9.29,9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,9/10/10,PG,771,9.33,8.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Bird,8/28/10,TA,291,9.46,7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/26/10,PG,296,9.54,7.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,9/12/10,TA,1304,9.81,8.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,55,9.84,9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,249,9.86,10,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,446,9.97,7.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,164,9.98,9.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,8/25/10,PG,170,10.05,8.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,974,10.1,9.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,980,10.23,10,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,8/25/10,PG,169,10.36,8.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,157,10.36,9.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,9/10/10,PG,773,10.51,9.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,173,10.6,9.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Eastern,8/30/10,PG,462,10.65,8.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,200,10.7,12.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Kaula,8/31/10,TA,608,10.75,10.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,453,11.66,9.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,248,11.74,10.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,156,12.22,9.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,8/24/10,PG,66,12.38,8.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Eastern,8/30/10,PG,501,12.49,8.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Frigate,9/9/10,TA,1182,13.05,8.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,979,13.27,9.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,9/9/10,PG,1181,13.45,10,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,TA,254,13.79,8.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,9/1/10,PG,606,13.92,9.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Eastern,8/30/10,PS,460,13.95,11.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Engineer,8/30/10,PG,496,14.15,13.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Ainsley,9/4/10,TA,1074,14.16,9.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,2,14.82,10.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/8/10,PG,1188,15.09,10.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Eastern,8/30/10,PG,516,15.61,8.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/26/10,PG,297,15.66,10.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,65,15.67,9.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,9/10/10,PG,770,15.74,11,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,9/10/10,PG,772,16.13,9.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,252/282,16.27,12,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,PG,626,16.63,12.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,976,16.68,10.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Frigate,9/9/10,TA,1175,16.89,9.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Frigate,8/28/10,PG,308,17,12.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Dudley,9/1/10,PG,977,17.51,11.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Home,8/23/10,PG,99,17.51,9.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,183,17.61,9.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,187,18.19,10.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/1/10,PG,681,18.66,10.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,8/30/10,TA,511,18.83,10.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/27/10,scae,253,19.36,10.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Frigate,8/26/10,PG,178,20.39,10.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Aviation,9/19/10,TA,1503,20.98,11,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/4/10,TA,1073,21.36,11,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,265,21.47,11.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NF,8/27/10,PG,247,22.01,12.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,8/30/10,PS,381,22.03,10.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,9/9/10,PG,1173,22.36,12.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PS,147,22.41,9.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,PG,627,22.68,11.7,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Sand,8/24/10,PG,161,22.78,12.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Lost,9/8/10,PG,1184,23.09,11,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Paradise,9/10/10,PG,767,23.48,13.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,9/15/10,PG,1417,23.79,11.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,452,24.1,12.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
P.mouth,8/26/10,PG,300,25.14,12.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,TA,255,25.57,16.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,450,26.18,11,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,8/30/10,TA,379,27.01,10.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Frigate,9/9/10,TA,1190,27.04,11.2,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
WHIP,9/9/10,TA,1203,27.7,10.9,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,8/30/10,PG,447,27.89,13.1,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,9/13/10,PG,1335,28.88,13.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
SF,9/13/10,PG,1337,29.26,14,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
NSC,9/4/10,TA,1080,30.61,12.5,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,PG,991,31.07,12.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Holei,9/1/10,TA,989,31.59,14.4,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,185,31.63,13.8,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Leslie,9/4/10,TA,1075,31.71,13.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Quail,8/26/10,PG,186,32.24,13.6,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
Papala,9/9/10,PG,1193,32.99,11.3,Orthoptera,Tettigonidae,Phisis,Phisis holdhausi
